participant_id;auc_8_Mother;auc_8_Unfamiliar Adult;auc_4_Father;auc_4_Unfamiliar Adult;auc_4_Mother;auc_8_Father;video_quality_mean_8_Mother;video_quality_mean_8_Unfamiliar Adult;video_quality_mean_4_Father;video_quality_mean_4_Unfamiliar Adult;video_quality_mean_4_Mother;video_quality_mean_8_Father;video_quality_sd_8_Mother;video_quality_sd_8_Unfamiliar Adult;video_quality_sd_4_Father;video_quality_sd_4_Unfamiliar Adult;video_quality_sd_4_Mother;video_quality_sd_8_Father;n_8_Mother;n_8_Unfamiliar Adult;n_4_Father;n_4_Unfamiliar Adult;n_4_Mother;n_8_Father
54;0,854802625037287;0,732415526286825;NA;NA;NA;0,928787582975400;0,584240308289474;0,634053699274958;NA;NA;NA;0,582862753695955;0,0521656423413022;0,0527198829749089;NA;NA;NA;0,0463604468300140;760;1793;NA;NA;NA;717
55;0,843595588785341;0,958969251327799;0,952524546758357;0,783423736582757;0,863469880666741;0,925640359986154;0,622019155246699;0,673463471683673;0,625271155300860;0,618663578307509;0,616133259004584;0,653497641510742;0,0756237605282240;0,0654019216884057;0,0725353270971772;0,0425773979711425;0,0408628537259522;0,0492226925522683;1439;1568;1745;1678;1527;1443
56;NA;NA;0,932403228765364;0,677789920689440;0,775908838102943;NA;NA;NA;0,611294050535211;0,556124253751538;0,579129218943227;NA;NA;NA;0,0125953076438033;0,0317317475428678;0,0250645281769240;NA;NA;NA;1775;1626;1779;NA
57;0,975813532254385;0,628241245992065;NA;NA;NA;0,798735268755389;0,649511322572614;0,659406279545454;NA;NA;NA;0,597641887835926;0,0698869061479993;0,0451992875342963;NA;NA;NA;0,0561816089291886;1205;1364;NA;NA;NA;707
58;NA;NA;0,915711914446092;0,938139983698860;0,888381183703676;NA;NA;NA;0,652347979352004;0,642570015426696;0,624396356641432;NA;NA;NA;0,0400561485527961;0,0282632164779123;0,0466046887548052;NA;NA;NA;1821;1828;1453;NA
59;0,603879107122535;0,901884344886189;NA;0,712371615312792;0,722543902439024;0,773448966664435;0,587026352412281;0,609088701317440;NA;0,551559588957476;0,563234491923077;0,595163931564400;0,0429290695748982;0,0377605060642602;NA;0,0325029440310405;0,0316093993376321;0,0334420689553596;912;1594;NA;1458;1820;1809
60;0,800377255515918;0,768293284354970;0,974163898224646;0,861287371102154;0,842550705719994;0,988543320569098;0,640005949650838;0,662685453529412;0,672128700221117;0,689996347778387;0,701803776229961;0,643602457983193;0,0504383494654861;0,0515183889268325;0,0358936826710786;0,0285007277974972;0,0418394349077914;0,0488628861181483;1432;1700;1809;1823;1809;833
61;0,391316064037809;NA;0,778142545718336;0,810179882189659;0,777884959009896;0,871045845272206;0,602382978303748;NA;0,642954199171271;0,669492524821527;0,616334131786543;0,591797622563418;0,0529292531025912;NA;0,0238848252064188;0,0223473769166990;0,0467563839955603;0,0675211524749783;1521;NA;1810;1821;1724;749
63;0,936166757234904;0,866511960261960;0,891413562728058;0,945315829757418;0,824083213437280;0,694974043676228;0,631901392882066;0,624763980263158;0,631448288295538;0,622171129405163;0,656339887513691;0,633187447823629;0,0456272576322223;0,0524614005281167;0,0426315815126257;0,0172757358843789;0,0265352039649925;0,0521084684063552;1433;1520;1367;1782;1826;1769
66;0,457217318200925;0,679059592316650;0,899898190931161;0,820188927943761;0,639605485972326;NA;0,552565772580645;0,563392589876543;0,592222727686473;0,618834432120873;0,600821563710334;NA;0,0373229607660779;0,0496184761594802;0,0324436760525561;0,0290363205120433;0,0354932236288055;NA;868;1215;1582;1787;1229;NA
